FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,CG_DTYPE,COLLECTION,DECIMALS,UNIT_MEASURE,UNIT_MULT,TIME_FORMAT,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
Q,JP,P,A,C,E,1,770,0,,,2000-Q1,-23.1095,A,F,
Q,JP,P,A,C,E,1,770,0,,,2000-Q2,-26.2706,A,F,
Q,JP,P,A,C,E,1,770,0,,,2000-Q3,-26.1392,A,F,
Q,JP,P,A,C,E,1,770,0,,,2000-Q4,-26.8656,A,F,
Q,JP,P,A,C,E,1,770,0,,,2001-Q1,-28.3322,A,F,
Q,JP,P,A,C,E,1,770,0,,,2001-Q2,-29.6498,A,F,
Q,JP,P,A,C,E,1,770,0,,,2001-Q3,-28.5782,A,F,
Q,JP,P,A,C,E,1,770,0,,,2001-Q4,-26.77,A,F,
Q,JP,P,A,C,E,1,770,0,,,2002-Q1,-26.3915,A,F,
Q,JP,P,A,C,E,1,770,0,,,2002-Q2,-26.3719,A,F,
Q,JP,P,A,C,E,1,770,0,,,2002-Q3,-27.4565,A,F,
Q,JP,P,A,C,E,1,770,0,,,2002-Q4,-25.5309,A,F,
Q,JP,P,A,C,E,1,770,0,,,2003-Q1,-26.388,A,F,
Q,JP,P,A,C,E,1,770,0,,,2003-Q2,-27.9354,A,F,
Q,JP,P,A,C,E,1,770,0,,,2003-Q3,-28.5563,A,F,
Q,JP,P,A,C,E,1,770,0,,,2003-Q4,-26.9749,A,F,
Q,JP,P,A,C,E,1,770,0,,,2004-Q1,-28.3563,A,F,
Q,JP,P,A,C,E,1,770,0,,,2004-Q2,-29.0605,A,F,
Q,JP,P,A,C,E,1,770,0,,,2004-Q3,-28.843,A,F,
Q,JP,P,A,C,E,1,770,0,,,2004-Q4,-26.8074,A,F,
Q,JP,P,A,C,E,1,770,0,,,2005-Q1,-24.2772,A,F,
Q,JP,P,A,C,E,1,770,0,,,2005-Q2,-24.6897,A,F,
Q,JP,P,A,C,E,1,770,0,,,2005-Q3,-22.2469,A,F,
Q,JP,P,A,C,E,1,770,0,,,2005-Q4,-20.4662,A,F,
Q,JP,P,A,C,E,1,770,0,,,2006-Q1,-19.8203,A,F,
Q,JP,P,A,C,E,1,770,0,,,2006-Q2,-19.1964,A,F,
Q,JP,P,A,C,E,1,770,0,,,2006-Q3,-17.2425,A,F,
Q,JP,P,A,C,E,1,770,0,,,2006-Q4,-15.8285,A,F,
Q,JP,P,A,C,E,1,770,0,,,2007-Q1,-15.4069,A,F,
Q,JP,P,A,C,E,1,770,0,,,2007-Q2,-16.9889,A,F,
Q,JP,P,A,C,E,1,770,0,,,2007-Q3,-14.9493,A,F,
Q,JP,P,A,C,E,1,770,0,,,2007-Q4,-12.5732,A,F,
Q,JP,P,A,C,E,1,770,0,,,2008-Q1,-13.1217,A,F,
Q,JP,P,A,C,E,1,770,0,,,2008-Q2,-9.7831,A,F,
Q,JP,P,A,C,E,1,770,0,,,2008-Q3,-8.1678,A,F,
Q,JP,P,A,C,E,1,770,0,,,2008-Q4,-3.3611,A,F,
Q,JP,P,A,C,E,1,770,0,,,2009-Q1,-1.3048,A,F,
Q,JP,P,A,C,E,1,770,0,,,2009-Q2,1.0126,A,F,
Q,JP,P,A,C,E,1,770,0,,,2009-Q3,3.542,A,F,
Q,JP,P,A,C,E,1,770,0,,,2009-Q4,5.2167,A,F,
Q,JP,P,A,C,E,1,770,0,,,2010-Q1,2.7765,A,F,
Q,JP,P,A,C,E,1,770,0,,,2010-Q2,1.4847,A,F,
Q,JP,P,A,C,E,1,770,0,,,2010-Q3,-0.4697,A,F,
Q,JP,P,A,C,E,1,770,0,,,2010-Q4,-1.3964,A,F,
Q,JP,P,A,C,E,1,770,0,,,2011-Q1,-1.6866,A,F,
Q,JP,P,A,C,E,1,770,0,,,2011-Q2,-0.984,A,F,
Q,JP,P,A,C,E,1,770,0,,,2011-Q3,0.467,A,F,
Q,JP,P,A,C,E,1,770,0,,,2011-Q4,1.3823,A,F,
Q,JP,P,A,C,E,1,770,0,,,2012-Q1,0.6674,A,F,
Q,JP,P,A,C,E,1,770,0,,,2012-Q2,-1.7577,A,F,
Q,JP,P,A,C,E,1,770,0,,,2012-Q3,-0.1982,A,F,
Q,JP,P,A,C,E,1,770,0,,,2012-Q4,1.4958,A,F,
Q,JP,P,A,C,E,1,770,0,,,2013-Q1,2.0271,A,F,
Q,JP,P,A,C,E,1,770,0,,,2013-Q2,1.1993,A,F,
Q,JP,P,A,C,E,1,770,0,,,2013-Q3,1.3425,A,F,
Q,JP,P,A,C,E,1,770,0,,,2013-Q4,1.9033,A,F,
Q,JP,P,A,C,E,1,770,0,,,2014-Q1,1.1903,A,F,
Q,JP,P,A,C,E,1,770,0,,,2014-Q2,-0.2559,A,F,
Q,JP,P,A,C,E,1,770,0,,,2014-Q3,0.3081,A,F,
Q,JP,P,A,C,E,1,770,0,,,2014-Q4,1.2346,A,F,
Q,JP,P,A,C,E,1,770,0,,,2015-Q1,0.2781,A,F,
Q,JP,P,A,C,E,1,770,0,,,2015-Q2,-1.5371,A,F,
Q,JP,P,A,C,E,1,770,0,,,2015-Q3,-1.571,A,F,
Q,JP,P,A,C,E,1,770,0,,,2015-Q4,-0.622,A,F,
Q,JP,P,A,C,E,1,770,0,,,2016-Q1,-1.2631,A,F,
Q,JP,P,A,C,E,1,770,0,,,2016-Q2,-0.2595,A,F,
Q,JP,P,A,C,E,1,770,0,,,2016-Q3,1.5585,A,F,
Q,JP,P,A,C,E,1,770,0,,,2016-Q4,3.3476,A,F,
Q,JP,P,A,C,E,1,770,0,,,2017-Q1,4.3889,A,F,
Q,JP,P,A,C,E,1,770,0,,,2017-Q2,4.0722,A,F,
Q,JP,P,A,C,E,1,770,0,,,2017-Q3,4.3514,A,F,
Q,JP,P,A,C,E,1,770,0,,,2017-Q4,4.9211,A,F,
Q,JP,P,A,C,E,1,770,0,,,2018-Q1,4.5899,A,F,
Q,JP,P,A,C,E,1,770,0,,,2018-Q2,5.4177,A,F,
Q,JP,P,A,C,E,1,770,0,,,2018-Q3,6.8569,A,F,
Q,JP,P,A,C,E,1,770,0,,,2018-Q4,8.6578,A,F,
Q,JP,P,A,C,E,1,770,0,,,2019-Q1,9.3946,A,F,
Q,JP,P,A,C,E,1,770,0,,,2019-Q2,9.9119,A,F,
Q,JP,P,A,C,E,1,770,0,,,2019-Q3,11.1566,A,F,
Q,JP,P,A,C,E,1,770,0,,,2019-Q4,12.8736,A,F,
Q,JP,P,A,C,E,1,770,0,,,2020-Q1,14.0732,A,F,
Q,JP,P,A,C,E,1,770,0,,,2020-Q2,24.3282,A,F,
Q,JP,P,A,C,E,1,770,0,,,2020-Q3,26.4459,A,F,
Q,JP,P,A,C,E,1,770,0,,,2020-Q4,27.2606,A,F,
Q,JP,P,A,C,E,1,770,0,,,2021-Q1,26.6873,A,F,
Q,JP,P,A,C,E,1,770,0,,,2021-Q2,23.2568,A,F,
Q,JP,P,A,C,E,1,770,0,,,2021-Q3,21.4473,A,F,
Q,JP,P,A,C,E,1,770,0,,,2021-Q4,21.4501,A,F,
Q,JP,P,A,C,E,1,770,0,,,2022-Q1,19.7786,A,F,
Q,JP,P,A,C,E,1,770,0,,,2022-Q2,19.4743,A,F,
Q,JP,P,A,C,E,1,770,0,,,2022-Q3,18.673,A,F,
Q,JP,P,A,C,E,1,770,0,,,2022-Q4,18.1212,A,F,
Q,JP,P,A,C,E,1,770,0,,,2023-Q1,15.6064,A,F,
Q,JP,P,A,C,E,1,770,0,,,2023-Q2,13.6036,A,F,
Q,JP,P,A,C,E,1,770,0,,,2023-Q3,12.1131,A,F,
Q,JP,P,A,C,E,1,770,0,,,2023-Q4,10.8824,A,F,
Q,JP,P,A,C,E,1,770,0,,,2024-Q1,10.628,A,F,
Q,JP,P,A,C,E,1,770,0,,,2024-Q2,9.6676,A,F,
Q,JP,P,A,C,E,1,770,0,,,2024-Q3,7.2267,A,F,
Q,JP,P,A,C,E,1,770,0,,,2024-Q4,7.8542,A,F,
Q,JP,P,A,C,E,1,770,0,,,2025-Q1,5.6081,A,F,
Q,JP,P,A,C,E,1,770,0,,,2025-Q2,4.2639,A,F,
Q,JP,P,A,C,E,1,770,0,,,2025-Q3,5.1514,A,F,
Q,JP,P,A,C,E,1,770,0,,,2025-Q4,6.7837,A,F,
Q,DE,P,A,C,E,1,770,0,,,2000-Q1,10.2245,A,F,
Q,DE,P,A,C,E,1,770,0,,,2000-Q2,11.8186,A,F,
Q,DE,P,A,C,E,1,770,0,,,2000-Q3,11.1914,A,F,
Q,DE,P,A,C,E,1,770,0,,,2000-Q4,15.7166,A,F,
Q,DE,P,A,C,E,1,770,0,,,2001-Q1,14.8883,A,F,
Q,DE,P,A,C,E,1,770,0,,,2001-Q2,14.0619,A,F,
Q,DE,P,A,C,E,1,770,0,,,2001-Q3,13.5592,A,F,
Q,DE,P,A,C,E,1,770,0,,,2001-Q4,11.9989,A,F,
Q,DE,P,A,C,E,1,770,0,,,2002-Q1,10.2656,A,F,
Q,DE,P,A,C,E,1,770,0,,,2002-Q2,11.0214,A,F,
Q,DE,P,A,C,E,1,770,0,,,2002-Q3,10.1732,A,F,
Q,DE,P,A,C,E,1,770,0,,,2002-Q4,9.8995,A,F,
Q,DE,P,A,C,E,1,770,0,,,2003-Q1,9.3077,A,F,
