KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-02,1.2022
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-05,1.2016
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-06,1.2014
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-07,1.2011
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-08,1.201
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-09,1.201
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-12,1.201
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-13,1.201
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-14,1.201
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-15,1.028
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-16,1.0128
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-19,1.012
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-20,1.0087
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-21,0.9997
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-22,0.9943
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-23,0.9816
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-26,1.0014
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-27,1.017
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-28,1.0242
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-29,1.0372
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-01-30,1.0468
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-02-02,1.0519
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-02-03,1.0526
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-02-04,1.0602
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-02-05,1.0587
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-02-06,1.0534
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-02-09,1.0428
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-02-10,1.0457
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-02-11,1.0465
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-02-12,1.0559
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-02-13,1.0576
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-02-16,1.0626
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-02-17,1.0631
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-02-18,1.0707
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-02-19,1.0796
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-02-20,1.0718
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-02-23,1.0727
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-02-24,1.0755
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-02-25,1.0773
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-02-26,1.0745
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-02-27,1.0636
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-03-02,1.0724
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-03-03,1.0736
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2015-03-04,1.0694
